Si-C: 	 0.24061967528457967, 	 Si-Fe: 	 0.3621249457170697 	 in ( C-Fe)
Fe-Si: 	 0.41280420914145993, 	 Fe-C: 	 0.15574833772609872 	 in ( Si-C)
Si-Fe: 	 0.3621249457170697, 	 Si-C: 	 0.24061967528457967 	 in ( C-Fe)
C-Si: 	 0.32379677283000763, 	 C-Fe: 	 0.18385655826669597 	 in ( Si-Fe)
Fe-Si: 	 0.24917729382121048, 	 Fe-Si: 	 0.24917729382121048 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41351538918814784, 	 Fe-C: 	 0.15581467991445358 	 in ( Si-C)
Si-Fe: 	 0.36263298976064434, 	 Si-C: 	 0.24093145357462023 	 in ( C-Fe)
C-Si: 	 0.3244060692746422, 	 C-Fe: 	 0.18398375390681498 	 in ( Si-Fe)
Fe-Si: 	 0.24968922418079922, 	 Fe-Si: 	 0.24968922418079922 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26907825781889216, 	 Fe-C: 	 0.26907825781889216 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15581467991445358, 	 Fe-Si: 	 0.41351538918814784 	 in ( C-Si)
C-Fe: 	 0.18398375390681498, 	 C-Si: 	 0.3244060692746422 	 in ( Si-Fe)
Si-C: 	 0.24093145357462023, 	 Si-Fe: 	 0.36263298976064434 	 in ( C-Fe)
Fe-Si: 	 0.41351538918814784, 	 Fe-C: 	 0.15581467991445358 	 in ( Si-C)
Si-Fe: 	 0.36263298976064434, 	 Si-C: 	 0.24093145357462023 	 in ( C-Fe)
C-Si: 	 0.3244060692746422, 	 C-Fe: 	 0.18398375390681498 	 in ( Si-Fe)
Fe-Si: 	 0.24968922418079922, 	 Fe-Si: 	 0.24968922418079922 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26907825781889216, 	 Fe-C: 	 0.26907825781889216 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15581467991445358, 	 Fe-Si: 	 0.41351538918814784 	 in ( C-Si)
C-Fe: 	 0.18398375390681498, 	 C-Si: 	 0.3244060692746422 	 in ( Si-Fe)
Si-C: 	 0.24093145357462023, 	 Si-Fe: 	 0.36263298976064434 	 in ( C-Fe)
Fe-Si: 	 0.41351538918814784, 	 Fe-C: 	 0.15581467991445358 	 in ( Si-C)
Si-Fe: 	 0.36263298976064434, 	 Si-C: 	 0.24093145357462023 	 in ( C-Fe)
C-Si: 	 0.3244060692746422, 	 C-Fe: 	 0.18398375390681498 	 in ( Si-Fe)
Fe-Si: 	 0.24968922418079922, 	 Fe-Si: 	 0.24968922418079922 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.4142267221477548, 	 Fe-C: 	 0.1558803975398197 	 in ( Si-C)
Si-Fe: 	 0.36314335052689417, 	 Si-C: 	 0.2412381998464894 	 in ( C-Fe)
C-Si: 	 0.3250102351423302, 	 C-Fe: 	 0.18411214916188 	 in ( Si-Fe)
Fe-Si: 	 0.2502009653004427, 	 Fe-Si: 	 0.2502009653004427 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26936416574296895, 	 Fe-C: 	 0.26936416574296895 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1558803975398197, 	 Fe-Si: 	 0.4142267221477548 	 in ( C-Si)
C-Fe: 	 0.18411214916188, 	 C-Si: 	 0.3250102351423302 	 in ( Si-Fe)
Si-C: 	 0.2412381998464894, 	 Si-Fe: 	 0.36314335052689417 	 in ( C-Fe)
Fe-Si: 	 0.4142267221477548, 	 Fe-C: 	 0.1558803975398197 	 in ( Si-C)
Si-Fe: 	 0.36314335052689417, 	 Si-C: 	 0.2412381998464894 	 in ( C-Fe)
C-Si: 	 0.3250102351423302, 	 C-Fe: 	 0.18411214916188 	 in ( Si-Fe)
Fe-Si: 	 0.2502009653004427, 	 Fe-Si: 	 0.2502009653004427 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26936416574296895, 	 Fe-C: 	 0.26936416574296895 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1558803975398197, 	 Fe-Si: 	 0.4142267221477548 	 in ( C-Si)
C-Fe: 	 0.18411214916188, 	 C-Si: 	 0.3250102351423302 	 in ( Si-Fe)
Si-C: 	 0.2412381998464894, 	 Si-Fe: 	 0.36314335052689417 	 in ( C-Fe)
Fe-Si: 	 0.4142267221477548, 	 Fe-C: 	 0.1558803975398197 	 in ( Si-C)
Si-Fe: 	 0.36314335052689417, 	 Si-C: 	 0.2412381998464894 	 in ( C-Fe)
C-Si: 	 0.3250102351423302, 	 C-Fe: 	 0.18411214916188 	 in ( Si-Fe)
Fe-Si: 	 0.2502009653004427, 	 Fe-Si: 	 0.2502009653004427 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41493820962816474, 	 Fe-C: 	 0.15594548963094101 	 in ( Si-C)
Si-Fe: 	 0.36365601581986257, 	 Si-C: 	 0.24153995249879218 	 in ( C-Fe)
C-Si: 	 0.32560931581596275, 	 C-Fe: 	 0.18424173345899406 	 in ( Si-Fe)
Fe-Si: 	 0.25071251621306084, 	 Fe-Si: 	 0.25071251621306084 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2696500021641115, 	 Fe-C: 	 0.2696500021641115 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15594548963094101, 	 Fe-Si: 	 0.41493820962816474 	 in ( C-Si)
C-Fe: 	 0.18424173345899406, 	 C-Si: 	 0.32560931581596275 	 in ( Si-Fe)
Si-C: 	 0.24153995249879218, 	 Si-Fe: 	 0.36365601581986257 	 in ( C-Fe)
Fe-Si: 	 0.41493820962816474, 	 Fe-C: 	 0.15594548963094101 	 in ( Si-C)
Si-Fe: 	 0.36365601581986257, 	 Si-C: 	 0.24153995249879218 	 in ( C-Fe)
C-Si: 	 0.32560931581596275, 	 C-Fe: 	 0.18424173345899406 	 in ( Si-Fe)
Fe-Si: 	 0.25071251621306084, 	 Fe-Si: 	 0.25071251621306084 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2696500021641115, 	 Fe-C: 	 0.2696500021641115 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15594548963094101, 	 Fe-Si: 	 0.41493820962816474 	 in ( C-Si)
C-Fe: 	 0.18424173345899406, 	 C-Si: 	 0.32560931581596275 	 in ( Si-Fe)
Si-C: 	 0.24153995249879218, 	 Si-Fe: 	 0.36365601581986257 	 in ( C-Fe)
Fe-Si: 	 0.41493820962816474, 	 Fe-C: 	 0.15594548963094101 	 in ( Si-C)
Si-Fe: 	 0.36365601581986257, 	 Si-C: 	 0.24153995249879218 	 in ( C-Fe)
C-Si: 	 0.32560931581596275, 	 C-Fe: 	 0.18424173345899406 	 in ( Si-Fe)
Fe-Si: 	 0.25071251621306084, 	 Fe-Si: 	 0.25071251621306084 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.4156498532453954, 	 Fe-C: 	 0.15600995521323693 	 in ( Si-C)
Si-Fe: 	 0.3641709736298851, 	 Si-C: 	 0.24183674950626022 	 in ( C-Fe)
C-Si: 	 0.3262033561654709, 	 C-Fe: 	 0.1843724963747055 	 in ( Si-Fe)
Fe-Si: 	 0.25122387595825585, 	 Fe-Si: 	 0.25122387595825585 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26993576694843846, 	 Fe-C: 	 0.26993576694843846 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15600995521323693, 	 Fe-Si: 	 0.4156498532453954 	 in ( C-Si)
C-Fe: 	 0.1843724963747055, 	 C-Si: 	 0.3262033561654709 	 in ( Si-Fe)
Si-C: 	 0.24183674950626022, 	 Si-Fe: 	 0.3641709736298851 	 in ( C-Fe)
Fe-Si: 	 0.4156498532453954, 	 Fe-C: 	 0.15600995521323693 	 in ( Si-C)
Si-Fe: 	 0.3641709736298851, 	 Si-C: 	 0.24183674950626022 	 in ( C-Fe)
C-Si: 	 0.3262033561654709, 	 C-Fe: 	 0.1843724963747055 	 in ( Si-Fe)
Fe-Si: 	 0.25122387595825585, 	 Fe-Si: 	 0.25122387595825585 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.26993576694843846, 	 Fe-C: 	 0.26993576694843846 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15600995521323693, 	 Fe-Si: 	 0.4156498532453954 	 in ( C-Si)
C-Fe: 	 0.1843724963747055, 	 C-Si: 	 0.3262033561654709 	 in ( Si-Fe)
Si-C: 	 0.24183674950626022, 	 Si-Fe: 	 0.3641709736298851 	 in ( C-Fe)
Fe-Si: 	 0.4156498532453954, 	 Fe-C: 	 0.15600995521323693 	 in ( Si-C)
Si-Fe: 	 0.3641709736298851, 	 Si-C: 	 0.24183674950626022 	 in ( C-Fe)
C-Si: 	 0.3262033561654709, 	 C-Fe: 	 0.1843724963747055 	 in ( Si-Fe)
Fe-Si: 	 0.25122387595825585, 	 Fe-Si: 	 0.25122387595825585 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41636165462360286, 	 Fe-C: 	 0.1560737933087772 	 in ( Si-C)
Si-Fe: 	 0.364688212130498, 	 Si-C: 	 0.24212862842477692 	 in ( C-Fe)
C-Si: 	 0.326792400554392, 	 C-Fe: 	 0.18450442763236494 	 in ( Si-Fe)
Fe-Si: 	 0.2517350435822789, 	 Fe-Si: 	 0.2517350435822789 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.27022145996263663, 	 Fe-C: 	 0.27022145996263663 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1560737933087772, 	 Fe-Si: 	 0.41636165462360286 	 in ( C-Si)
C-Fe: 	 0.18450442763236494, 	 C-Si: 	 0.326792400554392 	 in ( Si-Fe)
Si-C: 	 0.24212862842477692, 	 Si-Fe: 	 0.364688212130498 	 in ( C-Fe)
Fe-Si: 	 0.41636165462360286, 	 Fe-C: 	 0.1560737933087772 	 in ( Si-C)
Si-Fe: 	 0.364688212130498, 	 Si-C: 	 0.24212862842477692 	 in ( C-Fe)
C-Si: 	 0.326792400554392, 	 C-Fe: 	 0.18450442763236494 	 in ( Si-Fe)
Fe-Si: 	 0.2517350435822789, 	 Fe-Si: 	 0.2517350435822789 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.27022145996263663, 	 Fe-C: 	 0.27022145996263663 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1560737933087772, 	 Fe-Si: 	 0.41636165462360286 	 in ( C-Si)
C-Fe: 	 0.18450442763236494, 	 C-Si: 	 0.326792400554392 	 in ( Si-Fe)
Si-C: 	 0.24212862842477692, 	 Si-Fe: 	 0.364688212130498 	 in ( C-Fe)
Fe-Si: 	 0.41636165462360286, 	 Fe-C: 	 0.1560737933087772 	 in ( Si-C)
Si-Fe: 	 0.364688212130498, 	 Si-C: 	 0.24212862842477692 	 in ( C-Fe)
C-Si: 	 0.326792400554392, 	 C-Fe: 	 0.18450442763236494 	 in ( Si-Fe)
Fe-Si: 	 0.2517350435822789, 	 Fe-Si: 	 0.2517350435822789 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41707361539508425, 	 Fe-C: 	 0.1561370029362569 	 in ( Si-C)
Si-Fe: 	 0.36520771967540766, 	 Si-C: 	 0.24241562639634884 	 in ( C-Fe)
C-Si: 	 0.3273764928463544, 	 C-Fe: 	 0.18463751709953782 	 in ( Si-Fe)
Fe-Si: 	 0.2522460181379962, 	 Fe-Si: 	 0.2522460181379962 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2705070810739594, 	 Fe-C: 	 0.2705070810739594 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1561370029362569, 	 Fe-Si: 	 0.41707361539508425 	 in ( C-Si)
